DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19940816,73593.7500,74250.0000,72768.7500,73875.0000,9720,17643,0,0,0.0000
19940817,73275.0000,73387.5000,68812.5000,69281.2500,11208,17723,0,0,0.0000
19940818,68343.7500,71625.0000,68343.7500,70612.5000,10791,18876,0,0,0.0000
19940819,70143.7500,70612.5000,68250.0000,68925.0000,8961,20078,0,0,0.0000
19940822,68625.0000,71625.0000,67875.0000,71062.5000,9741,21313,0,0,0.0000
19940823,72562.5000,74343.7500,72000.0000,74100.0000,7441,21840,0,0,0.0000
19940824,73125.0000,74343.7500,72675.0000,73031.2500,5389,21506,0,0,0.0000
19940825,73125.0000,74250.0000,72787.5000,74175.0000,4105,21367,0,0,0.0000
19940826,74512.5000,79875.0000,73462.5000,79181.2500,8959,21846,0,0,0.0000
19940829,78375.0000,81712.5000,78375.0000,80400.0000,6089,22328,0,0,0.0000
19940830,79687.5000,81187.5000,79275.0000,79987.5000,6896,22549,0,0,0.0000
19940831,81562.5000,82968.7500,78843.7500,79087.5000,8006,22794,0,0,0.0000
19940901,78375.0000,80531.2500,78375.0000,79537.5000,5983,22677,0,0,0.0000
19940902,79762.5000,80437.5000,78468.7500,78712.5000,3669,22947,0,0,0.0000
19940906,80625.0000,81937.5000,80625.0000,81637.5000,5334,22898,0,0,0.0000
19940907,83250.0000,83906.2500,79687.5000,81168.7500,8874,23145,0,0,0.0000
19940908,80906.2500,81825.0000,79893.7500,80831.2500,5216,22945,0,0,0.0000
19940909,80812.5000,81843.7500,80812.5000,81375.0000,4385,22732,0,0,0.0000
19940912,81281.2500,84375.0000,81281.2500,84000.0000,7187,23166,0,0,0.0000
19940913,84093.7500,84918.7500,83062.5000,83325.0000,9706,22822,0,0,0.0000
19940914,80850.0000,82406.2500,79200.0000,79762.5000,9401,23220,0,0,0.0000
19940915,79875.0000,80343.7500,78000.0000,79650.0000,6663,22747,0,0,0.0000
19940916,80062.5000,83906.2500,80062.5000,83175.0000,8295,22984,0,0,0.0000
19940919,85106.2500,86437.5000,84618.7500,84956.2500,8155,23177,0,0,0.0000
19940920,86718.7500,87000.0000,84787.5000,85500.0000,8237,23372,0,0,0.0000
19940921,85125.0000,86812.5000,84468.7500,86756.2500,7113,23129,0,0,0.0000
19940922,86062.5000,86512.5000,84562.5000,85331.2500,5948,23602,0,0,0.0000
19940923,85500.0000,87187.5000,85050.0000,86118.7500,9337,22862,0,0,0.0000
19940926,85500.0000,86718.7500,84862.5000,84975.0000,6683,22497,0,0,0.0000
19940927,83343.7500,84000.0000,82218.7500,82481.2500,9932,21963,0,0,0.0000
19940928,81937.5000,83231.2500,79725.0000,80437.5000,10188,21897,0,0,0.0000
19940929,80437.5000,81187.5000,79200.0000,81037.5000,8970,21085,0,0,0.0000
19940930,79125.0000,79687.5000,77812.5000,78318.7500,10298,20663,0,0,0.0000
19941003,79593.7500,79950.0000,78093.7500,78600.0000,7779,20048,0,0,0.0000
19941004,79012.5000,80606.2500,79012.5000,80306.2500,9174,20342,0,0,0.0000
19941005,80156.2500,80906.2500,79012.5000,80643.7500,12889,20271,0,0,0.0000
19941006,79031.2500,79968.7500,76875.0000,77156.2500,11171,19270,0,0,0.0000
19941007,73650.0000,74718.7500,71062.5000,72337.5000,14665,17276,0,0,0.0000
19941010,72712.5000,73312.5000,67218.7500,67406.2500,12571,16539,0,0,0.0000
19941011,67875.0000,70406.2500,67781.2500,69150.0000,11429,15487,0,0,0.0000
19941012,69093.7500,71812.5000,69093.7500,71587.5000,9989,15323,0,0,0.0000
19941013,71250.0000,73312.5000,70312.5000,72975.0000,8405,14783,0,0,0.0000
19941014,70350.0000,71250.0000,69656.2500,70631.2500,6923,14767,0,0,0.0000
19941017,67125.0000,77812.5000,67125.0000,76443.7500,11123,14646,0,0,0.0000
19941018,74568.7500,76031.2500,72562.5000,73087.5000,6965,14499,0,0,0.0000
19941019,72000.0000,77343.7500,71287.5000,75600.0000,9181,13726,0,0,0.0000
19941020,75093.7500,76875.0000,74625.0000,75993.7500,4563,13390,0,0,0.0000
19941021,74625.0000,75000.0000,72675.0000,73331.2500,5423,13300,0,0,0.0000
19941024,70687.5000,74250.0000,70537.5000,73781.2500,6712,13067,0,0,0.0000
19941025,73781.2500,74925.0000,73087.5000,73293.7500,6179,12691,0,0,0.0000
19941026,71343.7500,72843.7500,71175.0000,71550.0000,6402,12540,0,0,0.0000
19941027,72093.7500,72337.5000,69787.5000,71025.0000,7672,12508,0,0,0.0000
19941028,70350.0000,71250.0000,70125.0000,71062.5000,4299,12006,0,0,0.0000
19941031,69750.0000,70462.5000,69412.5000,70275.0000,3910,11834,0,0,0.0000
19941101,70500.0000,71156.2500,69656.2500,69881.2500,4861,11628,0,0,0.0000
19941102,69131.2500,69412.5000,65812.5000,66862.5000,15123,11946,0,0,0.0000
19941103,66937.5000,68343.7500,66468.7500,67762.5000,8040,11800,0,0,0.0000
19941104,67875.0000,68812.5000,67218.7500,68625.0000,8631,10386,0,0,0.0000
19941107,68718.7500,69093.7500,68025.0000,68925.0000,5193,9539,0,0,0.0000
19941108,68437.5000,73125.0000,68437.5000,70875.0000,15010,8656,0,0,0.0000
19941109,71250.0000,72187.5000,69412.5000,70087.5000,8891,7931,0,0,0.0000
19941110,69337.5000,69900.0000,68681.2500,68943.7500,7382,8204,199503,199503,0.0000
19941111,71062.5000,71362.5000,69637.5000,70950.0000,6504,13723,0,0,1968.7500
19941114,70987.5000,70987.5000,68250.0000,68306.2500,9648,14493,0,0,0.0000
19941115,67031.2500,67875.0000,65625.0000,66337.5000,12413,15346,0,0,0.0000
19941116,66093.7500,68250.0000,65325.0000,67968.7500,11174,16287,0,0,0.0000
19941117,67575.0000,68625.0000,65812.5000,66281.2500,13076,17389,0,0,0.0000
19941118,66375.0000,66918.7500,64312.5000,64631.2500,7338,17486,0,0,0.0000
19941121,63187.5000,63562.5000,60187.5000,61387.5000,10882,19489,0,0,0.0000
19941122,62625.0000,63562.5000,61218.7500,62043.7500,9010,17467,0,0,0.0000
19941123,59250.0000,61875.0000,59250.0000,61331.2500,9107,17867,0,0,0.0000
19941128,61612.5000,62400.0000,60525.0000,61912.5000,5770,17597,0,0,0.0000
19941129,62437.5000,62718.7500,60618.7500,60825.0000,7504,17899,0,0,0.0000
19941130,59531.2500,60525.0000,58687.5000,60300.0000,8615,17743,0,0,0.0000
19941201,60281.2500,60937.5000,59887.5000,60637.5000,5465,18041,0,0,0.0000
19941202,59925.0000,60656.2500,59156.2500,60375.0000,5639,17205,0,0,0.0000
19941205,59906.2500,61743.7500,59906.2500,61256.2500,6906,17904,0,0,0.0000
19941206,61087.5000,62400.0000,60843.7500,62062.5000,5938,17618,0,0,0.0000
19941207,62362.5000,63318.7500,61500.0000,61837.5000,7656,17376,0,0,0.0000
19941208,61312.5000,62175.0000,61162.5000,61668.7500,4885,17250,0,0,0.0000
19941209,61687.5000,61856.2500,60900.0000,61031.2500,4137,17126,0,0,0.0000
19941212,60506.2500,62531.2500,60375.0000,62175.0000,5214,17238,0,0,0.0000
19941213,61350.0000,61593.7500,57187.5000,57600.0000,10630,17347,0,0,0.0000
19941214,54937.5000,55968.7500,54187.5000,55162.5000,9018,16989,0,0,0.0000
19941215,55687.5000,56475.0000,55312.5000,56400.0000,7839,17298,0,0,0.0000
19941216,57525.0000,60600.0000,57262.5000,59456.2500,10510,17206,0,0,0.0000
19941219,59343.7500,60075.0000,58687.5000,59568.7500,6306,17315,0,0,0.0000
19941220,58800.0000,60750.0000,58725.0000,60618.7500,7026,16968,0,0,0.0000
19941221,62812.5000,65625.0000,62812.5000,65156.2500,13721,17160,0,0,0.0000
19941222,64200.0000,64687.5000,63093.7500,64406.2500,9039,16262,0,0,0.0000
19941223,64687.5000,65250.0000,64500.0000,64668.7500,2880,16025,0,0,0.0000
19941227,64500.0000,65025.0000,64387.5000,64650.0000,2622,16316,0,0,0.0000
19941228,65137.5000,65531.2500,64650.0000,65325.0000,4959,16040,0,0,0.0000
19941229,66000.0000,66750.0000,64875.0000,65193.7500,6992,15753,0,0,0.0000
19941230,64125.0000,64500.0000,62906.2500,63318.7500,5331,15939,0,0,0.0000
19950103,62437.5000,63112.5000,62006.2500,62906.2500,4766,15818,0,0,0.0000
19950104,63187.5000,63675.0000,62156.2500,63000.0000,4922,15823,0,0,0.0000
19950105,62531.2500,64968.7500,62381.2500,64706.2500,8876,15989,0,0,0.0000
19950106,64500.0000,65812.5000,63975.0000,65606.2500,12187,15696,0,0,0.0000
19950109,65400.0000,65812.5000,63000.0000,63412.5000,6978,15885,0,0,0.0000
19950110,62662.5000,64050.0000,62512.5000,63375.0000,7147,15533,0,0,0.0000
19950111,64312.5000,64500.0000,61162.5000,61762.5000,10968,15303,0,0,0.0000
19950112,61968.7500,62962.5000,61593.7500,62887.5000,5557,14925,0,0,0.0000
19950113,63468.7500,63825.0000,63075.0000,63675.0000,5535,14815,0,0,0.0000
19950116,64125.0000,64237.5000,62512.5000,63168.7500,5031,15291,0,0,0.0000
19950117,63750.0000,64406.2500,63412.5000,63862.5000,6236,14926,0,0,0.0000
19950118,63431.2500,65437.5000,63300.0000,65343.7500,8509,15161,0,0,0.0000
19950119,65437.5000,65625.0000,64631.2500,64631.2500,7506,15435,0,0,0.0000
19950120,64312.5000,66093.7500,63168.7500,63693.7500,10912,15575,0,0,0.0000
19950123,63750.0000,64218.7500,63300.0000,63581.2500,5200,15322,0,0,0.0000
19950124,63300.0000,63787.5000,61687.5000,62475.0000,11268,14363,0,0,0.0000
19950125,62250.0000,62925.0000,61800.0000,62025.0000,6708,14155,0,0,0.0000
19950126,61387.5000,63000.0000,61087.5000,62625.0000,9929,14703,0,0,0.0000
19950127,62437.5000,62906.2500,60375.0000,60618.7500,10976,13867,0,0,0.0000
19950130,59400.0000,60187.5000,58031.2500,59043.7500,10774,13867,0,0,0.0000
19950131,59343.7500,59400.0000,57750.0000,58312.5000,9265,13812,0,0,0.0000
19950201,58256.2500,59062.5000,58012.5000,58406.2500,7249,12973,0,0,0.0000
19950202,58162.5000,59625.0000,58162.5000,59325.0000,7746,12695,0,0,0.0000
19950203,59325.0000,59775.0000,57450.0000,57881.2500,8863,12120,0,0,0.0000
19950206,58143.7500,58275.0000,56531.2500,57712.5000,8709,13267,0,0,0.0000
19950207,58050.0000,58368.7500,57600.0000,57750.0000,6546,12312,0,0,0.0000
19950208,57262.5000,59718.7500,57093.7500,58818.7500,10770,11525,0,0,0.0000
19950209,58968.7500,60000.0000,58968.7500,59587.5000,11460,11386,199505,199505,0.0000
19950210,59850.0000,62156.2500,59700.0000,61743.7500,11715,12328,0,0,787.5000
19950213,61800.0000,62025.0000,61462.5000,61593.7500,6524,12938,0,0,0.0000
19950214,61593.7500,63225.0000,61593.7500,62456.2500,15463,14126,0,0,0.0000
19950215,62625.0000,62887.5000,62025.0000,62606.2500,11200,14656,0,0,0.0000
19950216,62118.7500,63000.0000,60843.7500,61237.5000,12702,15542,0,0,0.0000
19950217,61593.7500,63750.0000,61350.0000,63600.0000,11170,16057,0,0,0.0000
19950221,64125.0000,64987.5000,63450.0000,63750.0000,10596,16069,0,0,0.0000
19950222,63468.7500,63843.7500,63075.0000,63506.2500,6272,15756,0,0,0.0000
19950223,63562.5000,64650.0000,63206.2500,63600.0000,7941,15806,0,0,0.0000
19950224,64125.0000,65512.5000,64125.0000,65456.2500,11140,16349,0,0,0.0000
19950227,65812.5000,69262.5000,65812.5000,68943.7500,15537,17858,0,0,0.0000
19950228,68437.5000,68812.5000,67725.0000,67968.7500,9749,18064,0,0,0.0000
19950301,67312.5000,70387.5000,67293.7500,69993.7500,13601,19170,0,0,0.0000
19950302,69412.5000,70387.5000,67500.0000,68493.7500,11346,18939,0,0,0.0000
19950303,67875.0000,69375.0000,67012.5000,67425.0000,8722,18865,0,0,0.0000
19950306,67218.7500,68156.2500,66656.2500,67406.2500,5063,18741,0,0,0.0000
19950307,67781.2500,68437.5000,66843.7500,67368.7500,6924,18373,0,0,0.0000
19950308,67462.5000,68550.0000,67031.2500,68006.2500,8156,18486,0,0,0.0000
19950309,68625.0000,69000.0000,68156.2500,68718.7500,5799,18238,0,0,0.0000
19950310,69375.0000,70856.2500,68962.5000,70406.2500,9711,18762,0,0,0.0000
19950313,69937.5000,70312.5000,67593.7500,68306.2500,11199,18609,0,0,0.0000
19950314,65625.0000,69487.5000,65625.0000,68400.0000,10737,18602,0,0,0.0000
19950315,67687.5000,68062.5000,66750.0000,67050.0000,8425,17920,0,0,0.0000
19950316,67687.5000,68400.0000,63956.2500,64200.0000,13642,16549,0,0,0.0000
19950317,63975.0000,64837.5000,62550.0000,63431.2500,13092,15341,0,0,0.0000
19950320,63468.7500,63712.5000,62493.7500,63187.5000,9429,14924,0,0,0.0000
19950321,63656.2500,64687.5000,61987.5000,64293.7500,12095,15286,0,0,0.0000
19950322,64237.5000,64575.0000,62887.5000,63581.2500,7117,15279,0,0,0.0000
19950323,62531.2500,63337.5000,62006.2500,62118.7500,11602,14617,0,0,0.0000
19950324,61537.5000,63150.0000,60600.0000,62850.0000,11808,14217,0,0,0.0000
19950327,62475.0000,63675.0000,62475.0000,62887.5000,5602,13635,0,0,0.0000
19950328,62325.0000,63937.5000,62137.5000,62812.5000,8106,13607,0,0,0.0000
19950329,62287.5000,63112.5000,62081.2500,62718.7500,5104,13094,0,0,0.0000
19950330,63281.2500,63637.5000,61200.0000,61518.7500,9205,13341,0,0,0.0000
19950331,61500.0000,62437.5000,61031.2500,62362.5000,6841,13092,0,0,0.0000
19950403,62550.0000,62625.0000,61725.0000,62043.7500,5384,12633,0,0,0.0000
19950404,61968.7500,62325.0000,61593.7500,61912.5000,4915,12327,0,0,0.0000
19950405,62062.5000,63150.0000,62062.5000,62793.7500,7237,12266,0,0,0.0000
19950406,62812.5000,63506.2500,62437.5000,62550.0000,6788,12034,0,0,0.0000
19950407,62212.5000,63262.5000,62081.2500,62662.5000,7216,11359,0,0,0.0000
19950410,62437.5000,62887.5000,62212.5000,62625.0000,3435,10591,199507,199507,0.0000
19950411,63412.5000,63468.7500,62718.7500,62868.7500,6439,11027,0,0,562.5000
19950412,62625.0000,62887.5000,62475.0000,62793.7500,6958,11173,0,0,0.0000
19950413,62700.0000,62775.0000,61350.0000,61725.0000,12991,11829,0,0,0.0000
19950417,61125.0000,62793.7500,61125.0000,62381.2500,8081,12483,0,0,0.0000
19950418,62062.5000,63937.5000,61856.2500,63131.2500,14387,14085,0,0,0.0000
19950419,63562.5000,64968.7500,63375.0000,64800.0000,17557,15774,0,0,0.0000
19950420,64800.0000,65925.0000,64800.0000,64931.2500,11924,17486,0,0,0.0000
19950421,64687.5000,66375.0000,64650.0000,66112.5000,8060,17961,0,0,0.0000
19950424,66000.0000,67200.0000,65587.5000,66862.5000,7914,17393,0,0,0.0000
19950425,66750.0000,67106.2500,65831.2500,66881.2500,9017,17476,0,0,0.0000
19950426,66412.5000,66918.7500,65943.7500,66543.7500,7431,17630,0,0,0.0000
19950427,65906.2500,66281.2500,65662.5000,65793.7500,4969,17773,0,0,0.0000
19950428,65362.5000,65456.2500,64800.0000,65306.2500,5488,17734,0,0,0.0000
19950501,64912.5000,65343.7500,64837.5000,64931.2500,2236,17697,0,0,0.0000
19950502,64462.5000,64631.2500,63975.0000,64443.7500,5343,17380,0,0,0.0000
19950503,64781.2500,66187.5000,64781.2500,66112.5000,6150,18039,0,0,0.0000
19950504,66037.5000,66787.5000,65643.7500,65850.0000,6046,17990,0,0,0.0000
19950505,65475.0000,66150.0000,65400.0000,65568.7500,4763,17728,0,0,0.0000
19950508,65512.5000,65625.0000,65212.5000,65250.0000,2645,17711,0,0,0.0000
19950509,65025.0000,66562.5000,65025.0000,65550.0000,7672,18548,0,0,0.0000
19950510,65362.5000,66150.0000,65156.2500,65550.0000,4995,18639,0,0,0.0000
19950511,65250.0000,65925.0000,63187.5000,63712.5000,10367,18021,0,0,0.0000
19950512,63750.0000,63900.0000,63000.0000,63037.5000,8672,17574,0,0,0.0000
19950515,63093.7500,64218.7500,63093.7500,63768.7500,4920,17514,0,0,0.0000
19950516,63975.0000,64106.2500,62662.5000,62793.7500,6876,17334,0,0,0.0000
